Pos.,Pct.,Amount,2 Tied,3 Tied,4 Tied,5 Tied,6 Tied,7 Tied,8 Tied,9 Tied,10 Tied
76,0.19%,"$17,563.00 ","$17,472.00 ","$17,381.00 ","$17,290.00 ","$17,199.00 ","$17,108.00 ","$17,017.00 ","$16,926.00 ","$16,835.00 ","$16,744.00 "
77,0.19%,"$17,381.00 ","$17,290.00 ","$17,199.00 ","$17,108.00 ","$17,017.00 ","$16,926.00 ","$16,835.00 ","$16,744.00 ","$16,653.00 ","$16,562.00 "
78,0.19%,"$17,199.00 ","$17,108.00 ","$17,017.00 ","$16,926.00 ","$16,835.00 ","$16,744.00 ","$16,653.00 ","$16,562.00 ","$16,471.00 ","$16,380.00 "
79,0.19%,"$17,017.00 ","$16,926.00 ","$16,835.00 ","$16,744.00 ","$16,653.00 ","$16,562.00 ","$16,471.00 ","$16,380.00 ","$16,289.00 ","$16,198.00 "
80,0.18%,"$16,835.00 ","$16,744.00 ","$16,653.00 ","$16,562.00 ","$16,471.00 ","$16,380.00 ","$16,289.00 ","$16,198.00 ","$16,107.00 ","$16,016.00 "
81,0.18%,"$16,653.00 ","$16,562.00 ","$16,471.00 ","$16,380.00 ","$16,289.00 ","$16,198.00 ","$16,107.00 ","$16,016.00 ","$15,925.00 ","$15,834.00 "
82,0.18%,"$16,471.00 ","$16,380.00 ","$16,289.00 ","$16,198.00 ","$16,107.00 ","$16,016.00 ","$15,925.00 ","$15,834.00 ","$15,743.00 ",
83,0.18%,"$16,289.00 ","$16,198.00 ","$16,107.00 ","$16,016.00 ","$15,925.00 ","$15,834.00 ","$15,743.00 ","$15,652.00 ",,
84,0.18%,"$16,107.00 ","$16,016.00 ","$15,925.00 ","$15,834.00 ","$15,743.00 ","$15,652.00 ","$15,561.00 ",,,
85,0.17%,"$15,925.00 ","$15,834.00 ","$15,743.00 ","$15,652.00 ","$15,561.00 ","$15,470.00 ",,,,
86,0.17%,"$15,743.00 ","$15,652.00 ","$15,561.00 ","$15,470.00 ","$15,379.00 ",,,,,
87,0.17%,"$15,561.00 ","$15,470.00 ","$15,379.00 ","$15,288.00 ",,,,,,
88,0.17%,"$15,379.00 ","$15,288.00 ","$15,197.00 ",,,,,,,
89,0.17%,"$15,197.00 ","$15,106.00 ",,,,,,,,
90,0.17%,"$15,015.00 ",,,,,,,,,
